@relation 'academic-weka.filters.unsupervised.attribute.Remove-R1-15,21-24,27-30,33-36-weka.filters.supervised.instance.SMOTE-C0-K5-P277.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P200.0-S2-weka.filters.supervised.instance.SMOTE-C0-K5-P140.0-S3-weka.filters.supervised.instance.SMOTE-C0-K5-P300.0-S3-weka.filters.supervised.instance.SMOTE-C0-K5-P175.0-S3-weka.filters.supervised.instance.SMOTE-C0-K5-P120.0-S4'

@attribute debtor numeric
@attribute tuitionfeesuptodate numeric
@attribute gender numeric
@attribute scholarshipholder numeric
@attribute ageatenrollment numeric
@attribute curricularunits1stsem(approved) numeric
@attribute curricularunits1stsem(grade) numeric
@attribute curricularunits2ndsem(approved) numeric
@attribute curricularunits2ndsem(grade) numeric
@attribute target {Dropout,Enrolled,Graduate}

@data
0,1,1,0,20,0,0,0,0,Dropout
0,0,1,0,19,6,14,6,13.666667,Graduate
0,0,1,0,19,0,0,0,0,Dropout
0,1,0,0,20,6,13.428571,5,12.4,Graduate
0,1,0,0,45,5,12.333333,6,13,Graduate
1,1,1,0,50,5,11.857143,5,11.5,Graduate
0,1,0,1,18,7,13.3,8,14.345,Graduate
0,0,1,0,22,0,0,0,0,Dropout
0,1,0,1,21,6,13.875,6,14.142857,Graduate
1,0,0,0,18,5,11.4,2,13.5,Dropout
0,1,0,0,18,6,12.333333,5,14.2,Graduate
0,1,0,1,18,7,13.214286,7,13.214286,Graduate
0,1,0,0,19,0,0,0,0,Dropout
0,1,0,1,21,6,10.571429,5,11,Graduate
0,1,0,1,18,4,13.25,5,12,Graduate
0,1,0,0,20,5,13.2,0,0,Dropout
0,1,0,0,18,1,12,2,11,Enrolled
0,1,0,0,18,7,13.30625,8,14.545,Graduate
0,1,0,0,20,4,12.5,4,12.25,Graduate
0,1,0,0,18,6,11.666667,6,13.5,Enrolled
0,1,0,1,21,0,0,0,0,Graduate
0,1,0,0,20,7,11.4375,8,11.425,Enrolled
0,1,0,0,18,7,12.857143,7,12.857143,Graduate
0,1,0,1,19,6,13.375,6,12.285714,Graduate
0,1,0,0,19,6,13.296667,7,14.114286,Graduate
1,1,0,1,18,5,11.6,4,11,Enrolled
0,1,0,0,21,6,11.375,6,13.285714,Graduate
0,1,0,0,18,5,12.666667,4,13,Enrolled
0,1,0,0,20,5,12,5,12.333333,Graduate
0,1,1,0,19,6,12.933333,6,13.716667,Enrolled
0,1,1,0,21,5,11.857143,5,10.571429,Enrolled
0,1,1,0,20,6,12.833333,4,13.4,Graduate
0,0,1,0,18,3,11.333333,2,13.5,Enrolled
0,1,0,0,19,6,12.666667,6,14.375,Graduate
0,1,1,0,34,5,12.4,5,13.428571,Graduate
1,0,1,0,37,0,0,1,10,Dropout
0,1,1,0,43,0,0,0,0,Dropout
0,1,0,0,55,1,10,2,12,Dropout
0,1,0,0,39,5,11,5,11.6,Graduate
1,0,0,0,20,3,11.666667,3,12,Dropout
1,1,0,0,18,4,12.75,0,0,Dropout
0,1,0,0,22,5,14.8,5,15.8,Graduate
0,1,0,0,22,5,13.928,7,14.342857,Graduate
0,0,0,0,20,4,13,5,13.8,Dropout
0,1,0,0,29,0,0,0,0,Dropout
0,1,0,0,24,2,11.5,3,14.333333,Enrolled
0,1,0,0,18,6,11.666667,5,13.2,Graduate
0,1,0,1,22,6,13.516667,7,13.771429,Graduate
0,1,0,1,21,6,11.5,6,13.285714,Graduate
0,1,0,1,19,5,12.333333,6,12.833333,Graduate
0,1,0,1,24,6,13.666667,6,14.166667,Graduate
0,1,0,1,19,6,11.833333,6,11.833333,Enrolled
0,1,0,1,20,4,14,3,11,Enrolled
0,1,0,0,19,5,14.714286,5,15.8,Graduate
0,1,0,0,27,5,10.6,5,11,Dropout
0,1,0,0,18,7,13.044444,8,13.595,Graduate
0,1,0,0,39,0,0,0,0,Dropout
0,1,0,0,27,5,13,10,12.9,Dropout
0,1,0,0,18,8,14.935,8,14.935,Graduate
0,1,0,0,18,0,0,0,0,Enrolled
0,1,0,0,18,6,13.133333,7,12.221429,Graduate
0,1,0,1,21,6,12,6,12,Graduate
0,1,1,1,19,0,0,0,0,Enrolled
0,1,1,0,19,5,11.4,1,10,Enrolled
0,1,1,0,24,0,0,0,0,Enrolled
0,1,1,0,29,5,11.9,5,11,Dropout
0,1,1,1,19,0,0,0,0,Graduate
0,1,1,0,23,6,12.571429,6,12.428571,Graduate
1,1,1,0,19,5,11.2,4,10.75,Dropout
0,1,1,0,26,6,12,5,10.8,Enrolled
0,1,1,0,18,0,0,0,0,Enrolled
0,1,1,0,24,7,11.975,8,13.75,Graduate
0,1,1,0,19,0,0,0,0,Dropout
0,1,1,0,18,3,11.666667,1,12,Dropout
0,1,1,0,18,6,12.333333,3,12.333333,Graduate
1,1,1,0,18,3,10.333333,3,10.857143,Dropout
0,1,1,1,21,4,10.5,1,11,Dropout
1,1,1,1,19,6,13.666667,6,13.333333,Graduate
0,1,1,1,22,7,14.842857,8,15.055556,Graduate
0,1,1,0,33,6,12,6,11.666667,Graduate
0,1,1,0,20,5,12.2,5,12.2,Dropout
0,1,1,0,35,0,0,0,0,Dropout
1,1,1,0,24,6,12.166667,10,13.3,Dropout
0,1,1,0,18,5,12,3,11.333333,Enrolled
